1,name,source,type,description
2,Armblade,17,"Weapon (any one-handed melee weapon), common (requires attunement by a warforged)","An armblade is a magic weapon that attaches to your arm, becoming inseparable from you as long as you're attuned to it. To attune to this item, you must hold it against your forearm for the entire attunement period.|||As a bonus action, you can retract the armblade into your forearm or extend it from there. While it is extended, you can use the weapon as if you were holding it, and you can't use that hand for other purposes."
3,Armor of Gleaming,7,"Armor (any medium or heavy), common",This armor never gets dirty.
4,Bead of Nourishment,7,"Wondrous item, common","This spongy, flavorless, gelatinous bead dissolves on your tongue and provides as much nourishment as 1 day of rations."
5,Bead of Refreshment,7,"Wondrous item, common","This spongy, flavorless, gelatinous bead dissolves in liquid, transforming up to a pint of the liquid into fresh, cold drinking water. The bead has no effect on magical liquids or harmful substances such as poison."
6,Boots of False Tracks,7,"Wondrous item, common","Only humanoids can wear these boots. While wearing the boots, you can choose to have them leave tracks like those of another kind of humanoid of your size."
7,Bottle of Boundless Coffee,21,"Wondrous Item, Common","This metal bottle carries delicious, warm coffee. The bottle comes with a stopper, which is attached to the bottle by a little chain. Even when open, the bottle won't accept any liquid other than the coffee it produces. The coffee inside is always comfortably warm, and none of the heat can be felt through the bottle.|||Each time you drink the coffee, roll a d20. On a 1, the bottle refuses to dispense coffee for the next hour. If you pour coffee from the bottle, rather than drinking from it, the coffee vanishes the moment it leaves the bottle."
8,Breathing Bubble,18,"Wondrous item, common","This translucent, bubble-like sphere has a slightly tacky outer surface, and you gain the item's benefits only while wearing it over your head like a helmet.|||The bubble contains 1 hour of breathable air. The bubble regains all its expended air daily at dawn."
9,Candle of the Deep,7,"Wondrous item, common",The flame of this candle is not extinguished when immersed in water. It gives off light and heat like a normal candle.
10,Cast-Off Armor,7,"Armor (light, medium, or heavy), common",You can doff this armor as an action.
11,Charlatan's Die,7,"Wondrous item, common (requires attunement)","Whenever you roll this six-sided die, you can control which number it rolls."
12,Cleansing Stone,17,"Wondrous item, common","A cleansing stone is a sphere 1 foot in diameter, engraved with mystic sigils. When touching the stone, you can use an action to activate it and remove dirt and grime from your garments and your person.|||Such stones are often embedded in pedestals in public squares in Aundair or in high-end Ghallanda inns."
13,Cloak of Billowing,7,"Wondrous item, common","While wearing this cloak, you can use a bonus action to make it billow dramatically."
14,Cloak of Many Fashions,7,"Wondrous item, common","While wearing this cloak, you can use a bonus action to change the style, color, and apparent quality of the garment. The cloak's weight doesn't change. Regardless of its appearance, the cloak can't be anything but a cloak. Although it can duplicate the appearance of other magic cloaks, it doesn't gain their magical properties."
15,Clockwork Amulet,7,"Wondrous item, common","This copper amulet contains tiny interlocking gears and is powered by magic from Mechanus, a plane of clockwork predictability. A creature that puts an ear to the amulet can hear faint ticking and whirring noises coming from within.|||When you make an attack roll while wearing the amulet, you can forgo rolling the d20 to get a 10 on the die. Once used, this property can't be used again until the next dawn."
16,Clothes of Mending,7,"Wondrous item, common",This elegant outfit of traveler's clothes magically mends itself to counteract daily wear and tear. Pieces of the outfit that are destroyed can't be repaired in this way.
17,Coin of Delving,18,"Wondrous item, common","This scintillating copper coin sheds dim light in a 5-foot radius. If dropped a distance greater than 5 feet, the coin issues a melodious ringing sound when it hits a surface. Any creature that can hear the chime can determine the distance the coin dropped based on the tone."
18,Cuddly Strixhaven Mascot,21,"Wondrous Item, Common","Representing one of the mascots of Strixhaven, this soft, Tiny, magic toy is perfect for cuddling. If you press it to your arm, shoulder, or leg as an action, the toy stays attached there for 1 hour or until you use an action to remove it.|||The toy can also be used to fight off fear. When you make a saving throw to avoid or end the frightened condition on yourself, you can give yourself advantage on the roll if the toy is on your person. You must decide to do so before rolling the d20. If the save succeeds, you can't use the toy in this way until you finish a long rest."
19,Dark Shard Amulet,7,"Wondrous item, common (requires attunement by a warlock)","This amulet is fashioned from a single shard of resilient extraplanar material originating from the realm of your warlock patron. While you are wearing it, you gain the following benefits:"
20,Dread Helm,7,"Wondrous item, common",This fearsome steel helm makes your eyes glow red while you wear it.
21,Ear Horn of Hearing,7,"Wondrous item, common","While held up to your ear, this horn suppresses the effects of the deafened condition on you, allowing you to hear normally."
22,Earring of Message,42,"Wondrous item, common","The blue crystal of this earring is wrapped with delicate copper wire. The earring has 5 charges. While wearing it, you can use an action to expend 1 charge and cast the Message spell. The earring regains 1d4 + 1 expended charges daily at dawn."
23,Enduring Spellbook,7,"Wondrous item, common","This spellbook, along with anything written on its pages, can't be damaged by fire or immersion in water. In addition, the spellbook doesn't deteriorate with age."
24,Ersatz Eye,7,"Wondrous item, common (requires attunement)","This artificial eye replaces a real one that was lost or removed. While the ersatz eye is embedded in your eye socket, it can't be removed by anyone other than you, and you can see through the tiny orb as though it were a normal eye."
25,Everbright Lantern,17,"Wondrous item, common","This bullseye lantern contains an Eberron dragonshard that sheds light comparable to that produced by a Continual Flame spell. An everbright lantern sheds light in a 120-foot cone; the closest 60 feet is bright light, and the farthest 60 feet is dim light."
26,Feather Token,17,"Wondrous item, common","This small metal disk is inscribed with the image of a feather. When you fall at least 20 feet while the token is on your person, you descend 60 feet per round and take no damage from falling. The token's magic is expended after you land, whereupon the disk becomes nonmagical."
27,Glamerweave,17,"Wondrous item, common or uncommon","Glamerweave is clothing imbued with harmless illusory magic. While wearing the common version of these clothes, you can use a bonus action to create a moving illusory pattern within the cloth.|||Uncommon glamerweave can have the pattern rise from the cloth. For example, a glamerweave gown might be wreathed in harmless, illusory flames, while a glamerweave hat might have illusory butterflies fluttering around it.|||When you make a Charisma (Performance) or Charisma (Persuasion) check while wearing the uncommon version of glamerweave, you can roll a d4 and add the number rolled to the check. Once you use this property, it can't be used again until the next dawn."
28,Hat of Vermin,7,"Wondrous item, common","This hat has 3 charges. While holding the hat, you can use an action to expend 1 of its charges and speak a command word that summons your choice of a bat, a frog, or a rat (see the Player's Handbook or the Monster Manual for statistics). The summoned creature magically appears in the hat and tries to get away from you as quickly as possible. The creature is neither friendly nor hostile, and it isn't under your control. It behaves as an ordinary creature of its kind and disappears after 1 hour or when it drops to 0 hit points. The hat regains all expended charges daily at dawn."
29,Hat of Wizardry,7,"Wondrous item, common (requires attunement by a wizard)","This antiquated, cone-shaped hat is adorned with gold crescent moons and stars. While you are wearing it, you gain the following benefits:"
30,Heward's Handy Spice Pouch,7,"Wondrous item, common","This belt pouch appears empty and has 10 charges. While holding the pouch, you can use an action to expend 1 of its charges, speak the name of any nonmagical food seasoning (such as salt, pepper, saffron, or cilantro), and remove a pinch of the desired seasoning from the pouch. A pinch is enough to season a single meal. The pouch regains 1d6 + 4 expended charges daily at dawn."
31,Horn of Silent Alarm,7,"Wondrous item, common","This horn has 4 charges. When you use an action to blow it, one creature of your choice can hear the horn's blare, provided the creature is within 600 feet of the horn and not deafened. No other creature hears sound coming from the horn. The horn regains 1d4 expended charges daily at dawn."
32,Illuminator's Tattoo,9,"Wondrous item (tattoo), common (requires attunement)","Produced by a special needle, this magic tattoo features beautiful calligraphy, images of writing implements, and the like.|||Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.|||If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.|||Magical Scribing. While this tattoo is on your skin, you can write with your fingertip as if it were an ink pen that never runs out of ink.|||As an action, you can touch a piece of writing up to one page in length and speak a creature's name. The writing becomes invisible to everyone other than you and the named creature for the next 24 hours. Either of you can dismiss the invisibility by touching the script (no action required). Once used, this action can't be used again until the next dawn."
