id,name,type,actions,ac,hp,spd,str,dex,con,int,wis,cha,extras,senses,languages,cr,source,image
2,Aarakocra,"Medium humanoid (Aarakocra), neutral good","Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target.|||Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.|||Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",12,"13 (3d8)"," 20 ft., fly 50 ft.","10 (+0)","14 (+2)","10 (+0)","11 (+0)","12 (+1)","11 (+0)","Skills: Perception +5|||","passive Perception 15"," Auran, Aarakocra","1/4 (50 XP)",5,https://www.aidedd.org/dnd/images/aarakocra.jpg
3,Aboleth,"Large aberration, lawful evil","Amphibious. The aboleth can breathe air and water.|||Mucous Cloud. While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.|||Probing Telepathy. If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.|||Multiattack. The aboleth makes three tentacle attacks.|||Tentacle. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.|||Tail. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage.|||Enslave (3/Day). The aboleth targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance. Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.|||The aboleth can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The aboleth regains spent legendary actions at the start of its turn.|||Detect. The aboleth makes a Wisdom (Perception) check.|||Tail Swipe. The aboleth makes one tail attack.|||Psychic Drain (Costs 2 Actions). One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.","17 (natural armor)","135 (18d10 + 36)"," 10 ft., swim 40 ft.","21 (+5)","9 (-1)","15 (+2)","18 (+4)","15 (+2)","18 (+4)","Saving Throws: Con +6, Int +8, Wis +6|||Skills: History +12, Perception +10|||"," darkvision 120 ft., passive Perception 20"," Deep Speech, telepathy 120 ft.","10 (5900 XP)",5,https://www.aidedd.org/dnd/images/aboleth.jpg
4,Acolyte,"Medium humanoid (any race), any alignment","Spellcasting. The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has the following cleric spells prepared:|||Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",10,"9 (2d8)","30 ft.","10 (+0)","10 (+0)","10 (+0)","10 (+0)","14 (+2)","11 (+0)","Skills: Medicine +4, Religion +2|||","passive Perception 12","any one language (usually Common)","1/4 (50 XP)",5,""
5,"Adult Black Dragon","Huge dragon (Chromatic), chaotic evil","Amphibious. The dragon can breathe air and water.|||Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.|||Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.|||Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage.|||Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.|||Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.|||Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.|||Acid Breath (Recharge 5-6). The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.|||The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.|||Detect. The dragon makes a Wisdom (Perception) check.|||Tail Attack. The dragon makes a tail attack.|||Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.","19 (natural armor)","195 (17d12 + 85)"," 40 ft., fly 80 ft., swim 40 ft.","23 (+6)","14 (+2)","21 (+5)","14 (+2)","13 (+1)","17 (+3)","Saving Throws: Dex +7, Con +10, Wis +6, Cha +8|||Skills: Perception +11, Stealth +7|||Damage Immunities: acid|||"," blindsight 60 ft., darkvision 120 ft., passive Perception 21"," Common, Draconic","14 (11500 XP)",5,https://www.aidedd.org/dnd/images/black-dragon.jpg
6,"Adult Blue Dracolich","Huge undead, lawful evil","Legendary Resistance (3/Day). If the dracolich fails a saving throw, it can choose to succeed instead.|||Magic Resistance. The dracolich has advantage on saving throws against spells and other magical effects.|||Multiattack. The dracolich can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.|||Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.|||Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.|||Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.|||Frightful Presence. Each creature of the dracolich's choice that is within 120 feet of the dracolich and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dracolich's Frightful Presence for the next 24 hours.|||Lightning Breath (Recharge 5–6). The dracolich exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 20 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.||| The dracolich can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dracolich regains spent legendary actions at the start of its turn.|||Detect. The dracolich makes a Wisdom (Perception) check.|||Tail Attack. The dracolich makes a tail attack.|||Wing Attack (Costs 2 Actions). The dracolich beats its tattered wings. Each creature within 10 ft. of the dracolich must succeed on a DC 21 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. After beating its wings this way, the dracolich can fly up to half its flying speed.","19 (natural armor)","225 (18d12 + 108)"," 40 ft., burrow 30 ft., fly 80 ft.","25 (+7)","10 (+0)","23 (+6)","16 (+3)","15 (+2)","19 (+4)","Saving Throws: Dex +6, Con +12, Wis +8, Cha +10|||Skills: Perception +14, Stealth +6|||Damage Resistances: necrotic|||Damage Immunities: lightning, poison|||Condition Immunities: charmed, exhaustion, frightened, paralyzed, poisoned|||"," blindsight 60 ft., darkvision 120 ft., passive Perception 24"," Common, Draconic","17 (18000 XP)",5,https://www.aidedd.org/dnd/images/dracolich.jpg
7,"Adult Blue Dragon","Huge dragon (Chromatic), lawful evil","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.|||Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.|||Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.|||Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.|||Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.|||Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.|||Lightning Breath (Recharge 5-6). The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.|||The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.|||Detect. The dragon makes a Wisdom (Perception) check.|||Tail Attack. The dragon makes a tail attack.|||Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.","19 (natural armor)","225 (18d12 + 108)"," 40 ft., burrow 30 ft., fly 80 ft.","25 (+7)","10 (+0)","23 (+6)","16 (+3)","15 (+2)","19 (+4)","Saving Throws: Dex +5, Con +11, Wis +7, Cha +9|||Skills: Perception +12, Stealth +5|||Damage Immunities: lightning|||"," blindsight 60 ft., darkvision 120 ft., passive Perception 22"," Common, Draconic","16 (15000 XP)",5,https://www.aidedd.org/dnd/images/blue-dragon.jpg
8,"Adult Brass Dragon","Huge dragon (Metallic), chaotic good","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.|||Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.|||Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.|||Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.|||Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.|||Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.|||Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.|||Fire Breath. The dragon exhales fire in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 45 (13d6) fire damage on a failed save, or half as much damage on a successful one.|||Sleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.|||The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.|||Detect. The dragon makes a Wisdom (Perception) check.|||Tail Attack. The dragon makes a tail attack.|||Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying Speed.","18 (natural armor)","172 (15d12 + 75)"," 40 ft., burrow 30 ft., fly 80 ft.","23 (+6)","10 (+0)","21 (+5)","14 (+2)","13 (+1)","17 (+3)","Saving Throws: Dex +5, Con +10, Wis +6, Cha +8|||Skills: History +7, Perception +11, Persuasion +8, Stealth +5|||Damage Immunities: fire|||"," blindsight 60 ft., darkvision 120 ft., passive Perception 21"," Common, Draconic","13 (10000 XP)",5,https://www.aidedd.org/dnd/images/brass-dragon.jpg
9,"Adult Bronze Dragon","Huge dragon (Metallic), lawful good","Amphibious. The dragon can breathe air and water.|||Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.|||Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.|||Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage.|||Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.|||Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.|||Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.|||Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.|||Lightning Breath. The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.|||Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 19 Strength saving throw. On a failed save, the creature is pushed 60 feet away from the dragon.|||Change Shape. The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice). In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.|||The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.|||Detect. The dragon makes a Wisdom (Perception) check.|||Tail Attack. The dragon makes a tail attack.|||Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.","19 (natural armor)","212 (17d12 + 102)"," 40 ft., fly 80 ft., swim 40 ft.","25 (+7)","10 (+0)","23 (+6)","16 (+3)","15 (+2)","19 (+4)","Saving Throws: Dex +5, Con +11, Wis +7, Cha +9|||Skills: Insight +7, Perception +12, Stealth +5|||Damage Immunities: lightning|||"," blindsight 60 ft., darkvision 120 ft., passive Perception 22"," Common, Draconic","15 (13000 XP)",5,https://www.aidedd.org/dnd/images/bronze-dragon.jpg
10,"Adult Copper Dragon","Huge dragon (Metallic), chaotic good","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.|||Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.|||Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.|||Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.|||Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.|||Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.|||Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.|||Acid Breath. The dragon exhales acid in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.|||Slowing Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.|||The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.|||Detect. The dragon makes a Wisdom (Perception) check.|||Tail Attack. The dragon makes a tail attack.|||Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying Speed.","18 (natural armor)","184 (16d12 + 80)"," 40 ft., climb 40 ft., fly 80 ft.","23 (+6)","12 (+1)","21 (+5)","18 (+4)","15 (+2)","17 (+3)","Saving Throws: Dex +6, Con +10, Wis +7, Cha +8|||Skills: Deception +8, Perception +12, Stealth +6|||Damage Immunities: acid|||"," blindsight 60 ft., darkvision 120 ft., passive Perception 22"," Common, Draconic","14 (11500 XP)",5,https://www.aidedd.org/dnd/images/copper-dragon.jpg
11,"Adult Gold Dragon","Huge dragon (Metallic), lawful good","Amphibious. The dragon can breathe air and water.|||Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.|||Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.|||Bite. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.|||Claw. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.|||Tail. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.|||Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.|||Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.|||Fire Breath. The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 66 (12d10) fire damage on a failed save, or half as much damage on a successful one.|||Weakening Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 21 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.|||Change Shape. The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice). In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.|||The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.|||Detect. The dragon makes a Wisdom (Perception) check.|||Tail Attack. The dragon makes a tail attack.|||Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying Speed.","19 (natural armor)","256 (19d12 + 133)"," 40 ft., fly 80 ft., swim 40 ft.","27 (+8)","14 (+2)","25 (+7)","16 (+3)","15 (+2)","24 (+7)","Saving Throws: Dex +8, Con +13, Wis +8, Cha +13|||Skills: Insight +8, Perception +14, Persuasion +13, Stealth +8|||Damage Immunities: fire|||"," blindsight 60 ft., darkvision 120 ft., passive Perception 24"," Common, Draconic","17 (18000 XP)",5,https://www.aidedd.org/dnd/images/gold-dragon.jpg
