id,name,parent_name,source,details
2,Dragonborn,,3,"Born of dragons, as their name proclaims, the dragonborn walk proudly through a world that greets them with fearful incomprehension. Shaped by draconic gods or the dragons themselves, dragonborn originally hatched from dragon eggs as a unique race, combining the best attributes of dragons and humanoids. Some dragonborn are faithful servants to true dragons, others form the ranks of soldiers in great wars, and still others find themselves adrift, with no clear calling in life.||||||Ability Score Increase. Your Strength score increases by 2, and your Charisma score increases by 1.|||||||||Age. Young dragonborn grow quickly. They walk hours after hatching, attain the size and development of a 10-year-old human child by the age of 3, and reach adulthood by 15. They live to be around 80.|||||||||Alignment. Dragonborn tend towards extremes, making a conscious choice for one side or the other between Good and Evil (represented by Bahamut and Tiamat, respectively). More side with Bahamut than Tiamat (whose non-dragon followers are mostly kobolds), but villainous dragonborn can be quite terrible indeed. Some rare few choose to devote themselves to lesser dragon deities, such as Chronepsis (Neutral), and fewer still choose to worship Io, the Ninefold Dragon, who is all alignments at once.|||||||||Size. Dragonborn are taller and heavier than humans, standing well over 6 feet tall and averaging almost 250 pounds. Your size is Medium.|||||||||Speed. Your base walking speed is 30 feet.|||||||||Draconic Ancestry. You are distantly related to a particular kind of dragon. Choose a type of dragon from the below list; this determines the damage and area of your breath weapon, and the type of resistance you gain.||||||||||||Dragon Color|||Damage Type|||Breath Weapon|||||||||Black|||Acid|||5' by 30' line (DEX save)|||||||||Blue|||Lightning|||5' by 30' line (DEX save)|||||||||Brass|||Fire|||5' by 30' line (DEX save)|||||||||Bronze|||Lightning|||5' by 30' line (DEX save)|||||||||Copper|||Acid|||5' by 30' line (DEX save)|||||||||Gold|||Fire|||15' cone (DEX save)|||||||||Green|||Poison|||15' cone (CON save)|||||||||Red|||Fire|||15' cone (DEX save)|||||||||Silver|||Cold|||15' cone (CON save)|||||||||White|||Cold|||15' cone (CON save)||||||||||||Breath Weapon. You can use your action to exhale destructive energy. It deals damage in an area according to your ancestry. When you use your breath weapon, all creatures in the area must make a saving throw, the type of which is determined by your ancestry. The DC of this saving throw is 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d6 damage on a failed save, and half as much damage on a successful one. The damage increase to 3d6 at 6th level, 4d6 at 11th, and 5d6 at 16th level. After using your breath weapon, you cannot use it again until you complete a short or long rest. HBInstead, you may use your breath weapon a number of times equal to your Constitution modifier. You regain expended uses on a short or long rest.|||||||||Damage Resistance. You have resistance to the damage type associated with your ancestry.|||||||||Languages. You can read, speak, and write Common and Draconic.||||||"
3,Draconblood,Dragonborn,18,"Draconbloods possess long tails and a knack for social manipulation. They remember the days when they were once mighty conquerors.|||A draconblood uses the dragonborn traits in the Player's Handbook, with the following traits replacing the Ability Score Increase and Damage Resistance traits.||||||Ability Score Increase. Your Intelligence score increases by 2, and your Charisma score increases by 1.|||||||||Darkvision. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.|||||||||Forceful Presence. When you make a Intimidation or Persuasion check, you can do so with advantage once per long rest.||||||"
4,Ravenite,Dragonborn,18,"Ravenites have no tails and a hearty physique. They remember the days when they were slaves to the draconblood, as well as the day when they overthrew their masters.|||A ravenite uses the dragonborn traits in the Player's Handbook, with the following traits replacing the Ability Score Increase and Damage Resistance traits.||||||Ability Score Increase. Your Strength score increases by 2, and your Constitution score increases by 1.|||||||||Darkvision. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.|||||||||Vengeful Assault. When you take damage from a creature in range of a weapon you are wielding, you can use your reaction to make an attack against that creature. You can do this once per short or long rest.||||||"
5,Chromatic,Dragonborn,10,"Dragonborn with chromatic ancestry claim the raw elemental power of chromatic dragons. The vibrant colors of black, blue, green, red, and white dragons gleam in those dragonborn's scaled skin and in the deadly energy of their breath weapons. Theirs is the raw elemental fury of the volcano, of biting arctic winds, and of raging lightning storms, as well as the subtle whisper of swamp and forest, toxic and corrosive.||||||Ability Score Increase. Increase one ability score by 2 and increase a different one by 1, or you increase three different scores by 1.|||||||||Type. You are a Humanoid.|||||||||Size. You are Medium.|||||||||Speed. Your walking speed is 30 feet.|||||||||Chromatic Ancestry. You trace your ancestry to a chromatic dragon, granting you a special magical affinity. Choose one type of dragon from the Chromatic Ancestry table. This determines the damage type for your other traits as shown in the table.||||||||||||Chromatic Ancestry|||||||||Dragon|||Damage Type|||||||||Black|||Acid|||||||||Blue|||Lightning|||||||||Green|||Poison|||||||||Red|||Fire|||||||||White|||Cold||||||||||||Breath Weapon. When you take the Attack action on your turn, you can replace one of your attacks with an exhalation of magical energy in a 30-foot line that is 5 feet wide. Each creature in that area must make a Dexterity saving throw (DC = 8 + your Constitution modifier + your proficiency bonus). On a failed save, the creature takes 1d10 damage of the type associated with your Chromatic Ancestry. On a successful save, it takes half as much damage. This damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10). You can use your Breath Weapon a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.|||||||||Draconic Resistance. You have resistance to the damage type associated with your Chromatic Ancestry.|||||||||Chromatic Warding. Starting at 5th level, as an action, you can channel your draconic energy to protect yourself. For 1 minute, you become immune to the damage type associated with your Chromatic Ancestry. Once you use this trait, you can’t do so again until you finish a long rest.|||||||||Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for the character.||||||"
6,Metallic,Dragonborn,10,"Dragonborn with metallic ancestry lay claim to the tenacity of metallic dragons — brass, bronze, copper, gold, and silver — whose hues glint in their scales. Theirs is the fire of hearth and forge, the cold of high mountain air, the spark of inspiration, and the scouring touch of acid that purifies.||||||Ability Score Increase. Increase one ability score by 2 and increase a different one by 1, or you increase three different scores by 1.|||||||||Type. You are a Humanoid.|||||||||Size. You are Medium.|||||||||Speed. Your walking speed is 30 feet.|||||||||Metallic Ancestry. You trace your ancestry to a metallic dragon, granting you a special magical affinity. Choose one type of dragon from the Metallic Ancestry table. This determines the damage type for your other traits as shown in the table.||||||||||||Metallic Ancestry|||||||||Dragon|||Damage Type|||||||||Brass|||Fire|||||||||Bronze|||Lightning|||||||||Copper|||Acid|||||||||Gold|||Fire|||||||||Silver|||Cold||||||||||||Breath Weapon. When you take the Attack action on your turn, you can replace one of your attacks with an exhalation of magical energy in a 15-foot cone. Each creature in that area must make a Dexterity saving throw (DC = 8 + your Constitution modifier + your proficiency bonus). On a failed save, the creature takes 1d10 damage of the type associated with your Metallic Ancestry. On a successful save, it takes half as much damage. This damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10). You can use your Breath Weapon a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.|||||||||Draconic Resistance. You have resistance to the damage type associated with your Metallic Ancestry.|||||||||Metallic Breath Weapon. At 5th level, you gain a second breath weapon. When you take the Attack action on your turn, you can replace one of your attacks with an exhalation in a 15-foot cone. The save DC for this breath is 8 + your Constitution modifier + your proficiency bonus. Whenever you use this trait, choose one:||||||||||||Enervating Breath. Each creature in the cone must succeed on a Constitution saving throw or become incapacitated until the start of your next turn.|||Repulsion Breath. Each creature in the cone must succeed on a Strength saving throw or be pushed 20 feet away from you and be knocked prone.|||||||||Once you use your Metallic Breath Weapon, you can’t do so again until you finish a long rest.|||||||||||||||||||||Enervating Breath. Each creature in the cone must succeed on a Constitution saving throw or become incapacitated until the start of your next turn.|||Repulsion Breath. Each creature in the cone must succeed on a Strength saving throw or be pushed 20 feet away from you and be knocked prone.|||||||||Once you use your Metallic Breath Weapon, you can’t do so again until you finish a long rest.|||||||||Enervating Breath. Each creature in the cone must succeed on a Constitution saving throw or become incapacitated until the start of your next turn.|||Repulsion Breath. Each creature in the cone must succeed on a Strength saving throw or be pushed 20 feet away from you and be knocked prone.|||||||||Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for the character.||||||"
7,Gem,Dragonborn,10,"Gem dragonborn partake of the heritage of gem dragons, who claim to be heirs of Sardior, the Ruby Dragon. The colors and mysterious powers of gem dragons — amethyst, crystal, emerald, sapphire, and topaz — gleam in these dragonborn’s scaled skin and course through their veins. Theirs are the wonders of the mind, the force of will, the brilliant light of insight, and the resounding echo of discovery — but also the desiccation of despair.||||||Ability Score Increase. Increase one ability score by 2 and increase a different one by 1, or you increase three different scores by 1.|||||||||Type. You are a Humanoid.|||||||||Size. You are Medium.|||||||||Speed. Your walking speed is 30 feet.|||||||||Gem Ancestry. You trace your ancestry to a Gem dragon, granting you a special magical affinity. Choose one type of dragon from the Gem Ancestry table. This determines the damage type for your other traits as shown in the table.||||||||||||Gem Ancestry|||||||||Dragon|||Damage Type|||||||||Amethyst|||Force|||||||||Crystal|||Radiant|||||||||Emerald|||Psychic|||||||||Sapphire|||Thunder|||||||||Topaz|||Necrotic||||||||||||Breath Weapon. When you take the Attack action on your turn, you can replace one of your attacks with an exhalation of magical energy in a 15-foot cone. Each creature in that area must make a Dexterity saving throw (DC = 8 + your Constitution modifier + your proficiency bonus). On a failed save, the creature takes 1d10 damage of the type associated with your Gem Ancestry. On a successful save, it takes half as much damage. This damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10). You can use your Breath Weapon a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.|||||||||Draconic Resistance. You have resistance to the damage type associated with your Gem Ancestry.|||||||||Psionic Mind. You can telepathically speak to any creature you can see within 30 feet of you. You don’t need to share a language with the creature, but the creature must be able to understand at least one language.|||||||||Gem Flight. Starting at 5th level, you can use a bonus action to manifest spectral wings on your body. These wings last for 1 minute. For the duration, you gain a flying speed equal to your walking speed and can hover. Once you use this trait, you can’t do so again until you finish a long rest.|||||||||Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for the character.||||||"
8,Chromatic,Dragonborn,53,"Source: Unearthed Arcana 78 - Draconic Options||||||Ability Score Increase. Increase one ability score by 2 and increase a different one by 1, or you increase three different scores by 1.|||||||||Type. You are a Humanoid.|||||||||Size. You are Medium.|||||||||Speed. Your walking speed is 30 feet.|||||||||Chromatic Ancestry. You trace your ancestry to a chromatic dragon, granting you a special magical affinity. Choose one type of dragon from the Chromatic Ancestry table. This determines the damage type for your other traits as shown in the table.||||||||||||Chromatic Ancestry|||||||||Dragon|||Damage Type|||||||||Black|||Acid|||||||||Blue|||Lightning|||||||||Green|||Poison|||||||||Red|||Fire|||||||||White|||Cold||||||||||||Breath Weapon. When you take the Attack action, you can replace one of your attacks with an exhalation of a magical energy in a 30-foot line that is 5 feet wide. Each creature in the area must make a Dexterity saving throw against a DC equal to 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d8 damage of the type associated with your Chromatic Ancestry on a failed save, and half as much damage on a successful one. This damage increases by 1d8 when you reach 5th level (3d8), 11th level (4d8), and 17th level (5d8). You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.|||||||||Draconic Resistance. You have resistance to the damage type associated with your Chromatic Ancestry.|||||||||Chromatic Warding. Starting at 3rd level, as an action, you can channel your draconic energies to protect yourself. For 10 minutes, you become immune to the damage type associated with your Chromatic Ancestry. Once you use this trait, you can’t do so again until you finish a long rest.|||||||||Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for the character.||||||"
9,Metallic,Dragonborn,53,"Source: Unearthed Arcana 78 - Draconic Options||||||Ability Score Increase. Increase one ability score by 2 and increase a different one by 1, or you increase three different scores by 1.|||||||||Type. You are a Humanoid.|||||||||Size. You are Medium.|||||||||Speed. Your walking speed is 30 feet.|||||||||Metallic Ancestry. You trace your ancestry to a metallic dragon, granting you a special magical affinity. Choose one type of dragon from the Metallic Ancestry table. This determines the damage type for your other traits as shown in the table.||||||||||||Metallic Ancestry|||||||||Dragon|||Damage Type|||||||||Brass|||Fire|||||||||Bronze|||Lightning|||||||||Copper|||Acid|||||||||Gold|||Fire|||||||||Silver|||Cold||||||||||||Breath Weapon. When you take the Attack action, you can replace one of your attacks with an exhalation of a magical energy in a 15-foot line that is 5 feet wide. Each creature in the area must make a Dexterity saving throw against a DC equal to 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d8 damage of the type associated with your Metallic Ancestry on a failed save, and half as much damage on a successful one. This damage increases by 1d8 when you reach 5th level (3d8), 11th level (4d8), and 17th level (5d8). You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.|||||||||Draconic Resistance. You have resistance to the damage type associated with your Metallic Ancestry.|||||||||Metallic Breath Weapon. At 3rd level you gain a second breath weapon. When you take the Attack action, you can replace one of your attacks with an exhalation of a magical gas in a 15-foot cone. The save DC for this breath is 8 + your Constitution modifier + your proficiency bonus. When you use this ability, choose one:||||||||||||Each creature in the area must succeed on a Strength saving throw or be pushed 20 feet away from you and be knocked prone.|||Each creature in the area must succeed on a Constitution saving throw or become incapacitated until the start of your next turn.|||||||||Once you use your Metallic Breath Weapon, you can’t do so again until you finish a long rest.|||||||||||||||||||||Each creature in the area must succeed on a Strength saving throw or be pushed 20 feet away from you and be knocked prone.|||Each creature in the area must succeed on a Constitution saving throw or become incapacitated until the start of your next turn.|||||||||Once you use your Metallic Breath Weapon, you can’t do so again until you finish a long rest.|||||||||Each creature in the area must succeed on a Strength saving throw or be pushed 20 feet away from you and be knocked prone.|||Each creature in the area must succeed on a Constitution saving throw or become incapacitated until the start of your next turn.|||||||||Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for the character.||||||"
10,Gem,Dragonborn,53,"Source: Unearthed Arcana 78 - Draconic Options||||||Ability Score Increase. Increase one ability score by 2 and increase a different one by 1, or you increase three different scores by 1.|||||||||Type. You are a Humanoid.|||||||||Size. You are Medium.|||||||||Speed. Your walking speed is 30 feet.|||||||||Gem Ancestry. You trace your ancestry to a Gem dragon, granting you a special magical affinity. Choose one type of dragon from the Gem Ancestry table. This determines the damage type for your other traits as shown in the table.||||||||||||Gem Ancestry|||||||||Dragon|||Damage Type|||||||||Amethyst|||Force|||||||||Crystal|||Radiant|||||||||Emerald|||Psychic|||||||||Sapphire|||Thunder|||||||||Topaz|||Necrotic||||||||||||Breath Weapon. When you take the Attack action, you can replace one of your attacks with an exhalation of a magical energy in a 15-foot line that is 5 feet wide. Each creature in the area must make a Dexterity saving throw against a DC equal to 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d8 damage of the type associated with your Gem Ancestry on a failed save, and half as much damage on a successful one. This damage increases by 1d8 when you reach 5th level (3d8), 11th level (4d8), and 17th level (5d8). You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.|||||||||Draconic Resistance. You have resistance to the damage type associated with your Gem Ancestry.|||||||||Psionic Mind. You can telepathically speak to any creature you can see within 30 feet of you. You don’t need to share a language with the creature, but the creature must be able to understand at least one language. Your communication doesn’t give the creature the ability to respond to you telepathically.|||||||||Gem Flight. Starting at 3rd level, you can use your bonus action to temporarily summon an array of spectral gems that match your Gem Ancestry in the shape of wings that last for 1 minute. For the duration, you gain a flying speed equal to your walking speed and can hover. Once you use this trait, you can’t do so again until you finish a long rest.|||||||||Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for the character.||||||"
11,Hill Dwarf,Dwarf,3,"As a hill dwarf, you have keen senses, deep intuition, and remarkable resilience. The gold dwarves of Faerun in their mighty southern kingdom are hill dwarves, as are the exiled Neidar and the debased Klar of Krynn in the Dragonlance setting.||||||Ability Score Increase. Your Wisdom score increases by 1.|||||||||Dwarven Toughness. Your hit point maximum increases by 1, and it increases by 1 every time you gain a level.||||||"
