name,publisher,date,photo_url
Player’s Handbook (PHB),Wizards of the Coast,August 2014,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-players-handbook-phb-2.jpeg?resize=391%2C500&amp;ssl=1
Dungeon Master’s Guide (DMG),Wizards of the Coast,December 2014,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-dungeon-masters-guide-dmg.webp?resize=384%2C503&amp;ssl=1
Monster Manual (MM),Wizards of the Coast,September 2014,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-monster-manual-mm-1.jpeg?resize=532%2C679&amp;ssl=1
Volo’s Guide to Monsters (VGtM),Wizards of the Coast,November 2016,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-volos-guide-to-monsters.jpeg?resize=382%2C499&amp;ssl=1
Xanathar’s Guide to Everything (XGtE),Wizards of the Coast,November 2017,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-xanathars-guide-to-everything-1.jpeg?resize=381%2C499&amp;ssl=1
Mordenkainen’s Tome of Foes (MToF),Wizards of the Coast,May 2018,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-mordenkainens-tome-of-foes.jpeg?resize=783%2C1024&amp;ssl=1
Tasha’s Cauldron of Everything (TCoE),Wizards of the Coast,November 2020,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-tashas-cauldron-of-everything.webp?resize=685%2C900&amp;ssl=1
Fizban’s Treasury of Dragons (FToD),Wizards of the Coast,October 2021,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-fizbans-treasury-of-dragons.jpeg?resize=782%2C1024&amp;ssl=1
Mordenkainen Presents Monsters of the Multiverse (MPMotM),Wizards of the Coast,May 2022,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-mordenkainen-monsters-multiverse.jpeg?resize=250%2C326&amp;ssl=1
Bigby Presents: Glory of the Giants (BPGotG),Wizards of the Coast,August 2023,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/05/bigby-presents-glory-of-the-giants-1-2.png?resize=420%2C540&amp;ssl=1
